year,total,yield
2020,2792
2019,2649,55.8
2018,2740,54.5
2017,2630,55.3
2016,2709,58.3
2015,2607,58.9
2014,2466,65.1
2013,2420,56.6
2012,2615,56.0
2011,2424
2010,2308
2009,2410
2008,2358
2007,2377
2006,2521
2005,2566
2004,2556
2003,2590
2002,2574
2001,2513
2000,2620
1999,2688
1998,2633
1997,2631
1996,2566
1995,2648
1994,2770
1993,2876
1992,3030
1991,3200
1990,3210
1989,3311
1988,3219
1987,3190
1986,3205
